Setting,Weight,Accuracy,Precision,Recall,F1,TN,FP,FN,TP,Num_Seeds
p0.2_early_patchseed0,6.596,0.8048,0.4034,0.9020,0.5573,43655,11641,853,7851,2
p0.2_early_patchseed1,6.676,0.8052,0.3978,0.8914,0.5496,43951,11547,923,7579,2
p0.2_early_patchseed2,6.655,0.8181,0.4150,0.8809,0.5642,44821,10625,1019,7535,2
p0.2_late_patchseed0,10.000,0.9122,0.4543,0.8935,0.6020,54148,5112,505,4235,2
p0.2_late_patchseed1,10.000,0.9127,0.4472,0.9165,0.6009,54223,5203,382,4192,2
p0.2_late_patchseed2,10.000,0.9016,0.4123,0.9211,0.5694,53548,5942,356,4154,2
p0.2_mid_patchseed0,9.006,0.8640,0.4183,0.8895,0.5684,49587,7997,709,5707,2
p0.2_mid_patchseed1,9.068,0.8601,0.4159,0.9012,0.5685,49181,8311,643,5865,2
p0.2_mid_patchseed2,9.052,0.8554,0.3942,0.9070,0.5495,49100,8676,579,5645,2
p0.4_early_patchseed0,5.366,0.7775,0.4098,0.8745,0.5580,40769,12953,1290,8988,2
p0.4_early_patchseed1,5.397,0.7737,0.4132,0.8723,0.5608,40271,13129,1354,9246,2
p0.4_early_patchseed2,5.337,0.7758,0.4095,0.8661,0.5560,40666,12958,1389,8987,2
p0.4_late_patchseed0,10.000,0.9016,0.4468,0.9132,0.6000,52977,5851,449,4723,2
p0.4_late_patchseed1,10.000,0.8805,0.3887,0.9336,0.5489,51703,7315,331,4651,2
p0.4_late_patchseed2,10.000,0.8995,0.4324,0.9066,0.5855,53024,5964,468,4544,2
p0.4_mid_patchseed0,8.560,0.8415,0.3941,0.9239,0.5524,47615,9627,514,6244,2
p0.4_mid_patchseed1,8.441,0.8397,0.3901,0.9158,0.5471,47542,9690,570,6198,2
p0.4_mid_patchseed2,8.838,0.8386,0.3855,0.9120,0.5419,47567,9741,589,6103,2
p0.6_early_patchseed0,8.104,0.8376,0.3878,0.9050,0.5429,47436,9744,648,6172,2
p0.6_early_patchseed1,8.569,0.8287,0.3840,0.9243,0.5426,46531,10431,533,6505,2
p0.6_early_patchseed2,8.166,0.8430,0.3949,0.9158,0.5518,47777,9477,568,6178,2
p0.6_late_patchseed0,10.000,0.9098,0.4535,0.9188,0.6073,53769,5377,394,4460,2
p0.6_late_patchseed1,10.000,0.9058,0.4383,0.9225,0.5943,53558,5656,371,4415,2
p0.6_late_patchseed2,10.000,0.9051,0.4462,0.8939,0.5952,53469,5545,529,4457,2
p0.6_mid_patchseed0,10.000,0.8737,0.4006,0.9079,0.5558,50864,7568,513,5055,2
p0.6_mid_patchseed1,10.000,0.8618,0.3915,0.9181,0.5478,49852,8370,473,5305,2
p0.6_mid_patchseed2,10.000,0.8548,0.3847,0.9347,0.5449,49160,8902,388,5550,2
